,min_sample_split = 2,min_sample_split = 4,min_sample_split = 6,min_sample_split = 8,min_sample_split = 10,min_sample_split = 12,min_sample_split = 14,min_sample_split = 16,min_sample_split = 18,min_sample_split = 20
max_depth = 15,0.3316026594589441,0.3404587214417804,0.33302352151697207,0.33435111368371445,0.3383085986193399,0.33835604083501636,0.33940882208448675,0.33912011597964586,0.34058657176319185,0.33934606110129517
max_depth = 17,0.34160932668348554,0.33534202823394094,0.34694687049504547,0.33983470692124107,0.3361493160102085,0.3432030330478703,0.34476648932471154,0.342760546090478,0.3428664227302972,0.3395151616797509
max_depth = 19,0.32930973170783573,0.3410668247074884,0.3374871234346785,0.334653352383644,0.3361225628928937,0.33994425729566585,0.3410830115982505,0.344216487546536,0.34104194599112947,0.34038771449908406
max_depth = 21,0.3328157752692826,0.3362941730143982,0.33633699956641167,0.3365984090079172,0.3456366759595163,0.341923356687473,0.340836750707873,0.34041383378446916,0.3428292096683294,0.3415456909876578
max_depth = 23,0.32562878492677527,0.32957805453496253,0.34209161976603014,0.3417418730979143,0.3444629425957611,0.3377420955351523,0.3414692379227383,0.33845636276830926,0.33812241155427,0.3375416751929224
max_depth = 25,0.33650229058881653,0.33389135415006577,0.34205025617717955,0.3367477912052584,0.345826963005783,0.34296248783610295,0.3448992539570686,0.3411004392885003,0.33881527624295765,0.33422829070413484
max_depth = 27,0.3316814184050868,0.33875843581490356,0.33645471838176355,0.3389196888007651,0.34609232983766436,0.340489729145849,0.34151026899637305,0.3386065589495734,0.3392141504748479,0.33496509044097994
max_depth = 29,0.32759512753832115,0.3343407852145161,0.33640675409956794,0.3385060071806975,0.3426329273209555,0.3411268712918814,0.3400827337191796,0.3403562531703527,0.338777443232297,0.3344864951469122
max_depth = 31,0.3274544427574808,0.3333002467001159,0.33577111085728084,0.3391450473407702,0.34373489063776336,0.34143948463487583,0.34025232814796924,0.3404493080488797,0.3391863794441123,0.3345283418830432
max_depth = 33,0.32554108731318243,0.3355769244799205,0.33347666198918535,0.33934846860718976,0.3438103790243181,0.34161515514081076,0.34016970451474465,0.3403831497230448,0.33930603091159217,0.334504672419112
max_depth = 35,0.3251565267504711,0.3364388117592382,0.3335207587025506,0.3394198265041866,0.3436755847302853,0.3411463357935626,0.34029832487767087,0.3403831497230448,0.33930603091159217,0.334504672419112
