,min_sample_split = 2,min_sample_split = 4,min_sample_split = 6,min_sample_split = 8,min_sample_split = 10,min_sample_split = 12,min_sample_split = 14,min_sample_split = 16,min_sample_split = 18,min_sample_split = 20
max_depth = 15,0.3263454232844234,0.34135516527172105,0.3330941965452301,0.3337931219396856,0.33429069946328266,0.3406467185251636,0.3375796877498115,0.33694244538363577,0.33733762430915554,0.33593970786016275
max_depth = 17,0.3355083602276265,0.3422276279667925,0.3370522438525408,0.34121388026450705,0.3428133685719809,0.34060425253964577,0.34058154055869927,0.34255837989524246,0.3433558483136979,0.3418624864912764
max_depth = 19,0.3318269342106461,0.33969532995897683,0.33445572759325193,0.33965775148033905,0.340458551505845,0.34294744978194935,0.34173613122791313,0.3452937189854424,0.3393598817589439,0.3402440821235039
max_depth = 21,0.3440454407102767,0.3199577090371637,0.3402109243056439,0.3418759601429798,0.33996438752595776,0.3442382760625692,0.3353296563311857,0.3404850767482177,0.34088795531471106,0.3394342931751496
max_depth = 23,0.35334475553879324,0.32579368402618936,0.33790553276267454,0.3374152478438807,0.33455725792881147,0.338781212416015,0.33817508828738563,0.33861409282349403,0.336728262291113,0.3348649588174218
max_depth = 25,0.33437177881841446,0.3323583845574899,0.33856723190812277,0.33882071710675626,0.3471344020157997,0.34198261239838773,0.34000210940906667,0.34072223949638886,0.3370513062502291,0.33497945332201007
max_depth = 27,0.34334250694484286,0.33625564198322444,0.3389969481104871,0.34413631009077866,0.3403460343057452,0.34050732768554903,0.3392647951052722,0.33831727923684224,0.3373360324353314,0.33542072519680993
max_depth = 29,0.3164408925811653,0.33627608450883334,0.3349849235041087,0.3387984782750252,0.33832528711849547,0.34065759063619844,0.33808025579141904,0.3397759465827709,0.3371070535328459,0.33519260368292364
max_depth = 31,0.3299428233508816,0.3362498803821139,0.3367507726018578,0.33791404478759535,0.33804897194781824,0.3401931983520008,0.33761152605885036,0.33933845333631185,0.3372931127942525,0.33520492634553767
max_depth = 33,0.3192412043687289,0.33848435349878814,0.34014857594536047,0.33662433559647253,0.33801722487070796,0.34004025970384166,0.3379107678023849,0.33932202366680725,0.33741615464200825,0.3351028841441149
max_depth = 35,0.3208904235592396,0.3385221672066168,0.3400522113362486,0.3370930230954076,0.338143316403321,0.34017173973431125,0.3379592451232782,0.33932202366680714,0.33741615464200825,0.3351028841441148
