,min_sample_split = 2,min_sample_split = 4,min_sample_split = 6,min_sample_split = 8,min_sample_split = 10,min_sample_split = 12,min_sample_split = 14,min_sample_split = 16,min_sample_split = 18,min_sample_split = 20
max_depth = 15,1.2400443828627337,1.235175649288346,1.2410407664895684,1.2406785239886093,1.2419070147222755,1.2403689385610166,1.2381661252831517,1.2401790010019407,1.2404490538335913,1.2398306656441396
max_depth = 17,1.2315833168903019,1.237750463774372,1.237033412332218,1.2381642276894054,1.236079377497203,1.2392878496112156,1.237882519007083,1.2374336897861595,1.2374781133952042,1.2385098674242432
max_depth = 19,1.2423469811550814,1.2366476822851868,1.2394437020474987,1.2353645773669022,1.2360061439405967,1.2380426041039012,1.2381561075058936,1.2388206642715909,1.2393647136688326,1.239850391878634
max_depth = 21,1.232928245516342,1.2370560542842368,1.2370455120350647,1.2377000778490692,1.2352044604520087,1.2367542422851603,1.237384563214421,1.2368307724857868,1.237759275607442,1.2405675249315544
max_depth = 23,1.2358399886774878,1.2372495660400713,1.2342803998341143,1.2378720942983945,1.2369478586458518,1.2359657420871586,1.2399483738342378,1.2373554750737803,1.2390625454314264,1.239171325373079
max_depth = 25,1.2321215329702708,1.2386678229132075,1.239801374869798,1.237192076268653,1.237384637096725,1.2362592356176296,1.2399719493835477,1.2373850621201699,1.2389513242621137,1.2400982412914998
max_depth = 27,1.2336619571352434,1.2369857501544494,1.2378621717160758,1.234816375215371,1.2385534344585727,1.2371481769939856,1.2389476873461431,1.23714267571638,1.237828221772952,1.2397775873955206
max_depth = 29,1.2324663907762439,1.2416908602657721,1.2378719861604948,1.236170589011163,1.2379991507442127,1.2377295219154354,1.2396907202463008,1.237039857229709,1.2382452310796552,1.2395890624885064
max_depth = 31,1.2296771624647451,1.2431260169101814,1.2373660226884564,1.2357017051596924,1.238155404123551,1.2373778429394329,1.2395469315551018,1.2372561237576816,1.2380895593393544,1.239522845219508
max_depth = 33,1.2302389265499045,1.2428725581717044,1.2385063055905994,1.2358708822348294,1.2384653517053956,1.2374499844206057,1.2393918833932067,1.2370855469461783,1.2381292879757912,1.2395532500909614
max_depth = 35,1.22909728599,1.2437059369274626,1.23858261140029,1.2359552990605243,1.2385148386372649,1.2373399433103531,1.2394421195361383,1.2370855469461783,1.2381292879757912,1.2395532500909616
