,min_sample_split = 2,min_sample_split = 4,min_sample_split = 6,min_sample_split = 8,min_sample_split = 10,min_sample_split = 12,min_sample_split = 14,min_sample_split = 16,min_sample_split = 18,min_sample_split = 20
max_depth = 15,1.1410444183512432,1.136523930641137,1.1378460852333891,1.1407088049401621,1.1437033956358225,1.140318730085552,1.1385581533505773,1.1402814778485544,1.139841397517364,1.1401108333235193
max_depth = 17,1.140243869359303,1.1397222837406205,1.1377157915366694,1.1374409334760849,1.1382555286456941,1.1409130284081543,1.140735808302947,1.138802413838276,1.138761705243043,1.1388492560934464
max_depth = 19,1.1393433692751227,1.1362226242469604,1.1417806447141279,1.1402935128384324,1.1386152494405837,1.1388792361484477,1.1389681233868938,1.1405776674078871,1.139417509845546,1.1389394558302406
max_depth = 21,1.1387170350427496,1.1394289668474489,1.1372179945866405,1.1374033052951718,1.1363227202254054,1.1413565225016609,1.1392236065830732,1.1391949653754883,1.1375761526597408,1.1382702976104637
max_depth = 23,1.140827094092977,1.1387819192684356,1.1374024083043246,1.14120520585761,1.1386161830247854,1.1368340268164225,1.1400854363714874,1.137644303265248,1.1381304238026797,1.1385941733344864
max_depth = 25,1.1435860241729112,1.1374688784854767,1.1420809585410234,1.1402231516314503,1.1397729116077306,1.1375019655490053,1.1406825179615516,1.1382674773673573,1.1380529200388436,1.138128821015394
max_depth = 27,1.1381973523705269,1.13521442903265,1.1407628751224779,1.1397020880160489,1.1411921995631642,1.139035674441353,1.1405633547461644,1.1393132642364376,1.137969528459243,1.1384203560244273
max_depth = 29,1.1398784347011224,1.1400029973738242,1.1409607436659361,1.140620584329747,1.1405000342740912,1.1394672124272478,1.1411698156850671,1.1390985466591936,1.13796546148745,1.138487218315034
max_depth = 31,1.1401019927475156,1.1383451721199207,1.1406477914984092,1.1409363539039452,1.139802953523235,1.1393078176671103,1.141077570223041,1.1392800332332607,1.138101540273475,1.138611871114921
max_depth = 33,1.1427900067771426,1.1391648921069701,1.1407916178440283,1.1412351937536578,1.1402308232537393,1.139280986186016,1.141093720923573,1.139231542963631,1.1380901686451586,1.1386664949586551
max_depth = 35,1.14035788847,1.1393359118306212,1.1409462523585971,1.1411032090596727,1.140068420917588,1.1392291457317274,1.1408327167438481,1.139231542963631,1.1380901686451586,1.1386664949586551
